sample_id,category,split,question_type,difficulty,question,ground_truth_answer,p_gen_MW,p_load_MW,p_loss_MW,v_min_pu,v_max_pu,u_line_pu,renewable_penetration_pct,bus_system,scenario_id,fault_type,fault_bus,fault_severity,template_id,human_authored,expert_validated,n_expert_reviewers,expert_mean_score,physics_valid,power_balance_error_MW,power_balance_pct,bleu_score,rouge_l,bertscore,physics_compliant_prediction,numerical_accuracy_pct,hallucination_flag,hallucination_category,inter_rater_kappa,data_generation_method,creation_date
DF_0001,demand_forecasting,train,factual,easy,What is the forecasted morning ramp demand for the Northwest control area on 3 Aug 2023?,"Morning ramp demand for Northwest on 3 Aug 2023 rises from 2665.7 MW at 06:00 to 3647.1 MW by 09:00, a ramp rate of 103.1 MW per 15-minute interval. Generation dispatch follows the economic merit order with 53.7% renewable contribution. Power balance is maintained within the 2% tolerance throughout the ramp period.",3668.981,3647.098,21.883,0.992,1.026,0.663,53.7,IEEE-118,SCN_DF_0001,none,N/A,N/A,T01,True,True,3,3.0,True,0.0,0.0,0.4,0.461,0.829,True,91.2,False,none,0.83,physics-constrained synthetic generation,2024-01-01
DF_0002,demand_forecasting,train,reasoning,medium,What demand response volume is needed if system load exceeds 3576 MW on 3 Aug 2023?,"If load reaches 3575.5 MW the operator activates 44.9 MW of Tier-1 interruptible industrial demand response. Combined with 447.2 MW of pre-positioned spinning reserve, system balance is restored within 5 minutes. Voltage at bus 89 recovers to 0.975 pu and all thermal limits return to below 0.95 pu of rated capacity.",3593.406,3575.528,17.878,0.975,1.036,0.694,24.1,IEEE-118,SCN_DF_0002,none,N/A,N/A,T02,True,True,3,4.67,True,0.0,0.0,0.332,0.444,0.828,True,87.8,False,none,0.78,physics-constrained synthetic generation,2024-01-01
DF_0003,demand_forecasting,train,multi_step,hard,"Given 40°C forecast and 60% renewable penetration on 18 May 2023, what is the optimal dispatch plan?",At 40°C with 60% renewable penetration the system faces 4386.8 MW demand and 2705.1 MW renewable supply. The 1848.9 MW residual is met by dispatchable thermal units in merit order. Re-dispatch reduces maximum line utilisation from 0.71 to 0.74 pu. Total generation cost is 353013 USD/hour at a marginal price of 77.1 USD/MWh.,4417.517,4386.809,30.708,0.984,1.024,0.71,59.4,IEEE-118,SCN_DF_0003,none,N/A,N/A,T03,True,True,3,3.67,True,0.0,0.0,0.409,0.506,0.831,True,90.0,False,none,0.75,physics-constrained synthetic generation,2024-01-01
DF_0004,demand_forecasting,train,factual,easy,What is the forecasted morning ramp demand for the Northwest control area on 22 Jun 2023?,"Morning ramp demand for Northwest on 22 Jun 2023 rises from 2408.9 MW at 06:00 to 3390.4 MW by 09:00, a ramp rate of 93.5 MW per 15-minute interval. Generation dispatch follows the economic merit order with 44.4% renewable contribution. Power balance is maintained within the 2% tolerance throughout the ramp period.",3410.724,3390.382,20.342,0.977,1.01,0.853,44.4,IEEE-118,SCN_DF_0004,none,N/A,N/A,T04,True,True,3,3.67,True,0.0,0.0,0.4,0.474,0.828,True,89.3,False,none,0.75,physics-constrained synthetic generation,2024-01-01
DF_0005,demand_forecasting,train,reasoning,medium,"Given a 55% increase in solar output, how does afternoon net load change on 3 Aug 2023?","With 55% additional solar generation the net load during 13:00–16:00 falls from 3944.4 MW to 3389.4 MW, a reduction of 208.1 MW. Flexible combined-cycle gas generation backs down proportionally. Minimum bus voltage remains at 0.990 pu — within the 0.95 pu limit — and line utilisation does not exceed 0.84 pu on any monitored corridor.",3971.976,3944.365,27.611,0.99,1.042,0.837,17.8,IEEE-118,SCN_DF_0005,none,N/A,N/A,T05,True,True,3,4.0,True,0.0,0.0,0.354,0.455,0.845,True,85.7,False,none,0.79,physics-constrained synthetic generation,2024-01-01
DF_0006,demand_forecasting,train,multi_step,hard,"Given 38°C forecast and 50% renewable penetration on 9 Sep 2022, what is the optimal dispatch plan?",At 38°C with 50% renewable penetration the system faces 2832.8 MW demand and 1153.8 MW renewable supply. The 1723.5 MW residual is met by dispatchable thermal units in merit order. Re-dispatch reduces maximum line utilisation from 0.69 to 0.69 pu. Total generation cost is 190015 USD/hour at a marginal price of 65.7 USD/MWh.,2852.621,2832.791,19.83,0.974,1.042,0.693,40.1,IEEE-30,SCN_DF_0006,none,N/A,N/A,T06,True,True,3,3.67,True,0.0,0.0,0.412,0.523,0.845,True,92.4,False,none,0.8,physics-constrained synthetic generation,2024-01-01
DF_0007,demand_forecasting,train,factual,easy,What is the forecasted morning ramp demand for the Southwest control area on 10 Mar 2023?,"Morning ramp demand for Southwest on 10 Mar 2023 rises from 2848.6 MW at 06:00 to 3855.8 MW by 09:00, a ramp rate of 83.0 MW per 15-minute interval. Generation dispatch follows the economic merit order with 31.7% renewable contribution. Power balance is maintained within the 2% tolerance throughout the ramp period.",3878.954,3855.819,23.135,0.988,1.012,0.766,31.7,IEEE-118,SCN_DF_0007,none,N/A,N/A,T07,True,True,3,3.67,True,0.0,0.0,0.31,0.431,0.851,True,90.7,False,none,0.76,physics-constrained synthetic generation,2024-01-01
DF_0008,demand_forecasting,train,reasoning,medium,What demand response volume is needed if system load exceeds 4917 MW on 14 Jul 2023?,"If load reaches 4916.9 MW the operator activates 67.5 MW of Tier-1 interruptible industrial demand response. Combined with 586.0 MW of pre-positioned spinning reserve, system balance is restored within 5 minutes. Voltage at bus 89 recovers to 0.973 pu and all thermal limits return to below 0.95 pu of rated capacity.",4946.367,4916.866,29.501,0.973,1.018,0.643,67.0,IEEE-14,SCN_DF_0008,none,N/A,N/A,T08,True,True,3,5.0,True,0.0,0.0,0.382,0.529,0.831,True,87.0,False,none,0.78,physics-constrained synthetic generation,2024-01-01
DF_0009,demand_forecasting,train,multi_step,hard,"Given 28°C forecast and 40% renewable penetration on 10 Mar 2023, what is the optimal dispatch plan?",At 28°C with 40% renewable penetration the system faces 4133.1 MW demand and 2385.3 MW renewable supply. The 1784.8 MW residual is met by dispatchable thermal units in merit order. Re-dispatch reduces maximum line utilisation from 0.77 to 0.75 pu. Total generation cost is 302944 USD/hour at a marginal price of 72.1 USD/MWh.,4162.078,4133.146,28.932,0.975,1.016,0.771,57.2,IEEE-30,SCN_DF_0009,none,N/A,N/A,T09,True,True,3,4.0,True,0.0,0.0,0.401,0.495,0.838,True,89.3,False,none,0.83,physics-constrained synthetic generation,2024-01-01
DF_0010,demand_forecasting,train,factual,easy,What is the predicted peak demand for the Central region on 14 Jul 2023?,The predicted peak demand for Central on 14 Jul 2023 is 3350.8 MW. Generation is scheduled at 3367.6 MW to cover forecast uncertainty. Transmission losses are estimated at 16.8 MW. Voltage profiles across all monitored buses remain within 0.95–1.05 pu and no thermal violations are present on any corridor.,3367.596,3350.842,16.754,0.988,1.036,0.586,55.9,IEEE-118,SCN_DF_0010,none,N/A,N/A,T10,True,True,3,4.33,True,0.0,0.0,0.396,0.507,0.831,True,92.9,False,none,0.81,physics-constrained synthetic generation,2024-01-01
