sample_id,category,split,question_type,difficulty,bus_system,scenario_id,human_authored,expert_validated,physics_valid,power_balance_error_MW,annotator_1,annotator_2,annotator_3,expert_mean,inter_rater_kappa,hallucination_flag,hallucination_category,bleu_score,rouge_l,bertscore,data_generation_method,creation_date
DF_0001,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0001,True,True,True,0.0,4,5,5,4.67,0.83,False,none,0.4,0.461,0.829,physics-constrained synthetic generation,2024-01-01
DF_0002,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0002,True,True,True,0.0,4,3,5,4.0,0.78,False,none,0.332,0.444,0.828,physics-constrained synthetic generation,2024-01-01
DF_0003,demand_forecasting,train,multi_step,hard,IEEE-118,SCN_DF_0003,True,True,True,0.0,5,3,5,4.33,0.75,False,none,0.409,0.506,0.831,physics-constrained synthetic generation,2024-01-01
DF_0004,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0004,True,True,True,0.0,5,3,3,3.67,0.75,False,none,0.4,0.474,0.828,physics-constrained synthetic generation,2024-01-01
DF_0005,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0005,True,True,True,0.0,4,4,3,3.67,0.79,False,none,0.354,0.455,0.845,physics-constrained synthetic generation,2024-01-01
DF_0006,demand_forecasting,train,multi_step,hard,IEEE-30,SCN_DF_0006,True,True,True,0.0,4,5,4,4.33,0.8,False,none,0.412,0.523,0.845,physics-constrained synthetic generation,2024-01-01
DF_0007,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0007,True,True,True,0.0,5,3,3,3.67,0.76,False,none,0.31,0.431,0.851,physics-constrained synthetic generation,2024-01-01
DF_0008,demand_forecasting,train,reasoning,medium,IEEE-14,SCN_DF_0008,True,True,True,0.0,4,5,4,4.33,0.78,False,none,0.382,0.529,0.831,physics-constrained synthetic generation,2024-01-01
DF_0009,demand_forecasting,train,multi_step,hard,IEEE-30,SCN_DF_0009,True,True,True,0.0,3,3,3,3.0,0.83,False,none,0.401,0.495,0.838,physics-constrained synthetic generation,2024-01-01
DF_0010,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0010,True,True,True,0.0,5,3,5,4.33,0.81,False,none,0.396,0.507,0.831,physics-constrained synthetic generation,2024-01-01
DF_0011,demand_forecasting,train,reasoning,medium,IEEE-14,SCN_DF_0011,True,True,True,0.0,5,3,4,4.0,0.76,False,none,0.315,0.479,0.858,physics-constrained synthetic generation,2024-01-01
DF_0012,demand_forecasting,train,multi_step,hard,IEEE-14,SCN_DF_0012,True,True,True,0.0,4,5,5,4.67,0.82,False,none,0.368,0.539,0.852,physics-constrained synthetic generation,2024-01-01
DF_0013,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0013,True,True,True,0.0,3,3,5,3.67,0.81,False,none,0.384,0.48,0.836,physics-constrained synthetic generation,2024-01-01
DF_0014,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0014,True,True,True,0.0,3,5,4,4.0,0.77,False,none,0.388,0.422,0.829,physics-constrained synthetic generation,2024-01-01
DF_0015,demand_forecasting,train,multi_step,hard,IEEE-118,SCN_DF_0015,True,True,True,0.0,4,3,5,4.0,0.82,False,none,0.32,0.428,0.839,physics-constrained synthetic generation,2024-01-01
DF_0016,demand_forecasting,train,factual,easy,IEEE-30,SCN_DF_0016,True,True,True,0.0,4,3,5,4.0,0.82,False,none,0.397,0.454,0.856,physics-constrained synthetic generation,2024-01-01
DF_0017,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0017,True,True,True,0.0,3,5,4,4.0,0.81,False,none,0.402,0.475,0.845,physics-constrained synthetic generation,2024-01-01
DF_0018,demand_forecasting,train,multi_step,hard,IEEE-30,SCN_DF_0018,True,True,True,0.0,5,5,4,4.67,0.79,False,none,0.39,0.489,0.841,physics-constrained synthetic generation,2024-01-01
DF_0019,demand_forecasting,train,factual,easy,IEEE-30,SCN_DF_0019,True,True,True,0.0,3,3,5,3.67,0.82,False,none,0.337,0.46,0.847,physics-constrained synthetic generation,2024-01-01
DF_0020,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0020,True,True,True,0.0,4,5,4,4.33,0.77,False,none,0.324,0.52,0.841,physics-constrained synthetic generation,2024-01-01
DF_0021,demand_forecasting,train,multi_step,hard,IEEE-118,SCN_DF_0021,True,True,True,0.0,3,4,4,3.67,0.78,False,none,0.325,0.508,0.847,physics-constrained synthetic generation,2024-01-01
DF_0022,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0022,True,True,True,0.0,5,5,5,5.0,0.75,False,none,0.376,0.471,0.847,physics-constrained synthetic generation,2024-01-01
DF_0023,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0023,True,True,True,0.0,4,4,3,3.67,0.82,False,none,0.376,0.442,0.835,physics-constrained synthetic generation,2024-01-01
DF_0024,demand_forecasting,train,multi_step,hard,IEEE-118,SCN_DF_0024,True,True,True,0.0,4,5,3,4.0,0.75,False,none,0.362,0.495,0.858,physics-constrained synthetic generation,2024-01-01
DF_0025,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0025,True,True,True,0.0,5,4,5,4.67,0.78,False,none,0.336,0.477,0.853,physics-constrained synthetic generation,2024-01-01
DF_0026,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0026,True,True,True,0.0,4,4,5,4.33,0.74,False,none,0.373,0.522,0.822,physics-constrained synthetic generation,2024-01-01
DF_0027,demand_forecasting,train,multi_step,hard,IEEE-30,SCN_DF_0027,True,True,True,0.0,5,3,3,3.67,0.76,False,none,0.412,0.463,0.854,physics-constrained synthetic generation,2024-01-01
DF_0028,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0028,True,True,True,0.0,5,3,4,4.0,0.82,False,none,0.377,0.52,0.824,physics-constrained synthetic generation,2024-01-01
DF_0029,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0029,True,True,True,0.0,3,3,4,3.33,0.77,False,none,0.325,0.506,0.834,physics-constrained synthetic generation,2024-01-01
DF_0030,demand_forecasting,train,multi_step,hard,IEEE-118,SCN_DF_0030,True,True,True,0.0,4,4,5,4.33,0.77,False,none,0.367,0.428,0.847,physics-constrained synthetic generation,2024-01-01
DF_0031,demand_forecasting,train,factual,easy,IEEE-30,SCN_DF_0031,True,True,True,0.0,5,4,5,4.67,0.74,False,none,0.324,0.436,0.833,physics-constrained synthetic generation,2024-01-01
DF_0032,demand_forecasting,train,reasoning,medium,IEEE-30,SCN_DF_0032,True,True,True,0.0,3,5,5,4.33,0.84,False,none,0.329,0.482,0.835,physics-constrained synthetic generation,2024-01-01
DF_0033,demand_forecasting,train,multi_step,hard,IEEE-118,SCN_DF_0033,True,True,True,0.0,4,5,4,4.33,0.8,False,none,0.415,0.484,0.855,physics-constrained synthetic generation,2024-01-01
DF_0034,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0034,True,True,True,0.0,5,4,4,4.33,0.78,False,none,0.4,0.423,0.829,physics-constrained synthetic generation,2024-01-01
DF_0035,demand_forecasting,train,reasoning,medium,IEEE-30,SCN_DF_0035,True,True,True,0.0,3,5,5,4.33,0.78,False,none,0.41,0.437,0.83,physics-constrained synthetic generation,2024-01-01
DF_0036,demand_forecasting,train,multi_step,hard,IEEE-118,SCN_DF_0036,True,True,True,0.0,4,3,5,4.0,0.8,False,none,0.36,0.524,0.835,physics-constrained synthetic generation,2024-01-01
DF_0037,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0037,True,True,True,0.0,3,3,5,3.67,0.82,False,none,0.414,0.495,0.828,physics-constrained synthetic generation,2024-01-01
DF_0038,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0038,True,True,True,0.0,4,3,4,3.67,0.78,False,none,0.351,0.479,0.831,physics-constrained synthetic generation,2024-01-01
DF_0039,demand_forecasting,train,multi_step,hard,IEEE-118,SCN_DF_0039,True,True,True,0.0,3,5,5,4.33,0.84,False,none,0.32,0.53,0.823,physics-constrained synthetic generation,2024-01-01
DF_0040,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0040,True,True,True,0.0,4,3,3,3.33,0.8,False,none,0.351,0.539,0.829,physics-constrained synthetic generation,2024-01-01
DF_0041,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0041,True,True,True,0.0,5,4,5,4.67,0.76,False,none,0.384,0.539,0.837,physics-constrained synthetic generation,2024-01-01
DF_0042,demand_forecasting,train,multi_step,hard,IEEE-14,SCN_DF_0042,True,True,True,0.0,4,3,5,4.0,0.82,False,none,0.336,0.511,0.852,physics-constrained synthetic generation,2024-01-01
DF_0043,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0043,True,True,True,0.0,3,5,3,3.67,0.82,False,none,0.338,0.537,0.827,physics-constrained synthetic generation,2024-01-01
DF_0044,demand_forecasting,train,reasoning,medium,IEEE-30,SCN_DF_0044,True,True,True,0.0,5,4,5,4.67,0.75,False,none,0.368,0.461,0.844,physics-constrained synthetic generation,2024-01-01
