sample_id,category,split,question_type,difficulty,question,ground_truth_answer,p_gen_MW,p_load_MW,p_loss_MW,v_min_pu,v_max_pu,u_line_pu,renewable_penetration_pct,bus_system,scenario_id,fault_type,fault_bus,fault_severity,template_id,human_authored,expert_validated,n_expert_reviewers,expert_mean_score,physics_valid,power_balance_error_MW,power_balance_pct,bleu_score,rouge_l,bertscore,physics_compliant_prediction,numerical_accuracy_pct,hallucination_flag,hallucination_category,inter_rater_kappa,data_generation_method,creation_date
MA_0001,market_analysis,train,factual,easy,What is the day-ahead clearing price for Peak Zone E on 28 Nov 2023?,"Day-ahead price for Peak Zone E on 28 Nov 2023 is 56.2 USD/MWh, reflecting a supply margin of 13.1% and 55% renewable penetration. The congestion component is 11.8 USD/MWh and the loss component is 2.4 USD/MWh.",2562.283,2547.001,15.282,0.95,1.039,0.898,69.8,IEEE-14,SCN_MA_0001,none,N/A,N/A,T01,True,True,3,4.67,True,0.0,0.0,0.405,0.504,0.847,True,85.2,False,none,0.77,physics-constrained synthetic generation,2024-01-01
MA_0002,market_analysis,train,reasoning,medium,How does congestion on the 47-69 interface affect locational marginal prices between Zones A and B?,Congestion on the 47-69 interface creates a 23.0 USD/MWh price wedge — Zone A clears at 63.3 USD/MWh and Zone B at 87.3 USD/MWh. Line utilisation is 0.68 pu of rated capacity. CRR holders earn 2996 USD/hour per 100 MW held. Re-dispatching 180 MW narrows the spread to 8.4 USD/MWh.,4329.71,4299.613,30.097,0.958,1.041,0.678,32.8,IEEE-118,SCN_MA_0002,none,N/A,N/A,T02,True,True,3,3.33,True,0.0,0.0,0.383,0.526,0.84,True,89.8,False,none,0.84,physics-constrained synthetic generation,2024-01-01
MA_0003,market_analysis,train,multi_step,hard,What bidding strategy maximises revenue for a 188 MW battery storage asset in today's market?,Optimal strategy: charge 188 MW overnight at 61.4 USD/MWh and discharge during the evening peak at forecast 93.4 USD/MWh. Expected daily arbitrage revenue is 29193 USD before 12% round-trip efficiency losses. Net daily profit after cycling costs is 21258 USD. Power balance and voltage limits are maintained at all operating points.,4459.202,4432.606,26.596,0.98,1.036,0.614,20.6,IEEE-118,SCN_MA_0003,none,N/A,N/A,T03,True,True,3,5.0,True,0.0,0.0,0.405,0.522,0.85,True,93.0,False,none,0.82,physics-constrained synthetic generation,2024-01-01
MA_0004,market_analysis,train,factual,easy,What is the spinning reserve clearing price in Zone D today?,Spinning reserve clears at 10.6 USD/MW-hour in Zone D. Total procurement for the 476 MW requirement costs 191404 USD/hour. Fast-frequency response from batteries clears at 9.5 USD/MW-hour.,3096.052,3074.53,21.522,0.965,1.05,0.73,58.9,IEEE-118,SCN_MA_0004,none,N/A,N/A,T04,True,True,3,3.67,True,0.0,0.0,0.33,0.469,0.842,True,87.3,False,none,0.8,physics-constrained synthetic generation,2024-01-01
MA_0005,market_analysis,train,reasoning,medium,How does congestion on the 38-65 interface affect locational marginal prices between Zones A and B?,Congestion on the 38-65 interface creates a 31.4 USD/MWh price wedge — Zone A clears at 40.5 USD/MWh and Zone B at 64.5 USD/MWh. Line utilisation is 0.75 pu of rated capacity. CRR holders earn 2512 USD/hour per 100 MW held. Re-dispatching 109 MW narrows the spread to 13.0 USD/MWh.,2494.688,2474.889,19.799,0.967,1.037,0.75,20.9,IEEE-118,SCN_MA_0005,none,N/A,N/A,T05,True,True,3,3.67,True,0.0,0.0,0.376,0.452,0.857,True,85.5,False,none,0.83,physics-constrained synthetic generation,2024-01-01
MA_0006,market_analysis,train,multi_step,hard,What bidding strategy maximises revenue for a 350 MW battery storage asset in today's market?,Optimal strategy: charge 350 MW overnight at 48.7 USD/MWh and discharge during the evening peak at forecast 80.7 USD/MWh. Expected daily arbitrage revenue is 51398 USD before 12% round-trip efficiency losses. Net daily profit after cycling costs is 33394 USD. Power balance and voltage limits are maintained at all operating points.,3273.7,3260.657,13.043,0.969,1.018,0.561,14.0,IEEE-118,SCN_MA_0006,none,N/A,N/A,T06,True,True,3,4.0,True,0.0,0.0,0.315,0.522,0.856,True,90.5,False,none,0.77,physics-constrained synthetic generation,2024-01-01
MA_0007,market_analysis,train,factual,easy,What is the spinning reserve clearing price in Zone E today?,Spinning reserve clears at 9.2 USD/MW-hour in Zone E. Total procurement for the 408 MW requirement costs 145501 USD/hour. Fast-frequency response from batteries clears at 8.2 USD/MW-hour.,2389.211,2370.249,18.962,0.973,1.023,0.678,45.3,IEEE-14,SCN_MA_0007,none,N/A,N/A,T07,True,True,3,4.67,True,0.0,0.0,0.399,0.45,0.835,True,89.4,False,none,0.8,physics-constrained synthetic generation,2024-01-01
MA_0008,market_analysis,train,reasoning,medium,How does congestion on the 47-69 interface affect locational marginal prices between Zones A and B?,Congestion on the 47-69 interface creates a 21.3 USD/MWh price wedge — Zone A clears at 52.8 USD/MWh and Zone B at 76.8 USD/MWh. Line utilisation is 0.82 pu of rated capacity. CRR holders earn 2699 USD/hour per 100 MW held. Re-dispatching 368 MW narrows the spread to 10.0 USD/MWh.,3668.568,3653.952,14.616,0.978,1.017,0.825,50.1,IEEE-14,SCN_MA_0008,none,N/A,N/A,T08,True,True,3,4.67,True,0.0,0.0,0.354,0.536,0.841,True,86.4,False,none,0.83,physics-constrained synthetic generation,2024-01-01
MA_0009,market_analysis,train,multi_step,hard,What bidding strategy maximises revenue for a 251 MW battery storage asset in today's market?,Optimal strategy: charge 251 MW overnight at 61.1 USD/MWh and discharge during the evening peak at forecast 93.1 USD/MWh. Expected daily arbitrage revenue is 33047 USD before 12% round-trip efficiency losses. Net daily profit after cycling costs is 30803 USD. Power balance and voltage limits are maintained at all operating points.,4569.596,4537.831,31.765,0.969,1.015,0.838,38.6,IEEE-118,SCN_MA_0009,none,N/A,N/A,T09,True,True,3,3.67,True,0.0,0.0,0.393,0.43,0.831,True,93.3,False,none,0.83,physics-constrained synthetic generation,2024-01-01
MA_0010,market_analysis,train,factual,easy,What is the day-ahead clearing price for Peak Zone C on 10 Mar 2023?,"Day-ahead price for Peak Zone C on 10 Mar 2023 is 74.9 USD/MWh, reflecting a supply margin of 17.7% and 50% renewable penetration. The congestion component is 2.8 USD/MWh and the loss component is 1.4 USD/MWh.",5528.158,5489.73,38.428,0.969,1.022,0.67,67.4,IEEE-14,SCN_MA_0010,none,N/A,N/A,T10,True,True,3,4.33,True,0.0,0.0,0.395,0.428,0.822,True,91.9,False,none,0.8,physics-constrained synthetic generation,2024-01-01
