sample_id,category,split,question_type,difficulty,question,ground_truth_answer,p_gen_MW,p_load_MW,p_loss_MW,v_min_pu,v_max_pu,u_line_pu,renewable_penetration_pct,bus_system,scenario_id,fault_type,fault_bus,fault_severity,template_id,human_authored,expert_validated,n_expert_reviewers,expert_mean_score,physics_valid,power_balance_error_MW,power_balance_pct,bleu_score,rouge_l,bertscore,physics_compliant_prediction,numerical_accuracy_pct,hallucination_flag,hallucination_category,inter_rater_kappa,data_generation_method,creation_date
AD_0001,anomaly_detection,train,factual,easy,Line 64-65 current has risen to 0.66 pu of rating. Diagnose and recommend corrective action.,"Current of 0.66 pu on line 64-65 exceeds the 1.0 pu continuous limit. Most likely cause: loop flow increase following unscheduled outage of parallel line 22-23. Recommended action: reduce generation at bus 107 by 107 MW within 5 minutes. Loading returns to 0.70 pu. If unresolved within 15 minutes, initiate N-1 contingency protocol.",3503.337,3475.533,27.804,0.954,1.028,0.659,62.7,IEEE-118,SCN_AD_0001,measurement_anomaly,88,low,T01,True,True,3,3.67,True,0.0,0.0,0.391,0.429,0.823,True,87.1,False,none,0.79,physics-constrained synthetic generation,2024-01-01
AD_0002,anomaly_detection,train,reasoning,medium,SCADA shows flow reversal on line 47-69 from 205 MW export to 127 MW import. Diagnose this event.,Flow reversal on line 47-69 from 205 MW export to 127 MW import indicates an undetected topology change in the adjacent control area — most likely a 532 MW generation trip or line outage increasing import requirement. Actions: request topology update from the adjacent ISO; verify interconnection import limits (192 MW contractual maximum); prepare re-dispatch if import exceeds the limit.,4629.271,4606.24,23.031,0.964,1.024,0.684,33.9,IEEE-118,SCN_AD_0002,phase_fault,30,low,T02,True,True,3,3.33,True,0.0,0.0,0.407,0.465,0.843,True,88.2,False,none,0.81,physics-constrained synthetic generation,2024-01-01
AD_0003,anomaly_detection,train,multi_step,hard,Cascading voltage collapse is imminent on the Central interface — voltages below 0.986 pu on 6 buses. What emergency actions prevent a blackout?,"Blackout prevention on the Central interface requires immediate sequential execution: (1) shed 433 MW in load zones NW-2 and NW-3 within 60 s — highest priority as it directly reduces reactive demand; (2) insert 46 MVAR of reactive compensation within 90 s; (3) reduce power imports from the South by 145 MW within 3 min; (4) arm automatic voltage control relays on buses 87, 89, 91. Post-intervention: lowest bus voltage stabilises at 0.985 pu — above the 0.95 pu security limit. Maximum line loading returns to 0.64 pu. Report the event to the regional reliability coordinator within 10 minutes per grid code requirements.",2343.826,2327.533,16.293,0.986,1.017,0.745,55.8,IEEE-118,SCN_AD_0003,measurement_anomaly,46,critical,T03,True,True,3,4.33,True,0.0,0.0,0.351,0.445,0.851,True,91.0,False,none,0.77,physics-constrained synthetic generation,2024-01-01
AD_0004,anomaly_detection,train,factual,easy,Bus 75 voltage has dropped to 0.979 pu. What is the most likely cause and required action?,Bus 75 at 0.979 pu violates the 0.95 pu lower limit. Most probable cause (68% likelihood): reactive power deficiency from loss of capacitor bank. Immediate actions: (1) switch in the standby capacitor bank at bus 75 (42 MVAR); (2) increase reactive output of generator at bus 86 by 71 MVAR. Voltage recovers to 0.992 pu within 3 minutes. No thermal violations are present on any adjacent line.,1946.775,1939.019,7.756,0.979,1.034,0.654,10.3,IEEE-118,SCN_AD_0004,generation_deviation,111,low,T04,True,True,3,4.67,True,0.0,0.0,0.395,0.519,0.851,True,89.8,False,none,0.75,physics-constrained synthetic generation,2024-01-01
AD_0005,anomaly_detection,train,reasoning,medium,Frequency has dropped to 59.56 Hz. What event has likely occurred and what are the emergency actions?,"Frequency of 59.56 Hz with ROCOF of 0.25 Hz/s indicates a generation trip of approximately 505–404 MW, consistent with loss of the largest unit in the system. Emergency actions: (1) verify UFLS relay operation at 59.3 Hz; (2) dispatch all spinning reserve within 10 minutes; (3) request emergency assistance from the adjacent control area. Frequency recovery to 59.9 Hz is expected within 4 minutes.",5548.339,5509.771,38.568,0.982,1.042,0.767,29.5,IEEE-118,SCN_AD_0005,voltage_collapse,47,moderate,T05,True,True,3,4.33,True,0.0,0.0,0.404,0.487,0.834,True,92.0,False,none,0.81,physics-constrained synthetic generation,2024-01-01
AD_0006,anomaly_detection,train,multi_step,hard,Cascading voltage collapse is imminent on the Central interface — voltages below 0.976 pu on 4 buses. What emergency actions prevent a blackout?,"Blackout prevention on the Central interface requires immediate sequential execution: (1) shed 453 MW in load zones NW-2 and NW-3 within 60 s — highest priority as it directly reduces reactive demand; (2) insert 34 MVAR of reactive compensation within 90 s; (3) reduce power imports from the South by 135 MW within 3 min; (4) arm automatic voltage control relays on buses 87, 89, 91. Post-intervention: lowest bus voltage stabilises at 0.985 pu — above the 0.95 pu security limit. Maximum line loading returns to 0.57 pu. Report the event to the regional reliability coordinator within 10 minutes per grid code requirements.",4602.349,4570.357,31.992,0.976,1.031,0.716,20.8,IEEE-118,SCN_AD_0006,topology_change,14,critical,T06,True,True,3,3.0,True,0.0,0.0,0.402,0.502,0.826,True,87.8,False,none,0.81,physics-constrained synthetic generation,2024-01-01
AD_0007,anomaly_detection,train,factual,easy,Bus 70 voltage has dropped to 0.991 pu. What is the most likely cause and required action?,Bus 70 at 0.991 pu violates the 0.95 pu lower limit. Most probable cause (68% likelihood): under-scheduling of reactive reserves in the voltage control area. Immediate actions: (1) switch in the standby capacitor bank at bus 70 (42 MVAR); (2) increase reactive output of generator at bus 99 by 44 MVAR. Voltage recovers to 0.992 pu within 3 minutes. No thermal violations are present on any adjacent line.,3063.865,3042.567,21.298,0.991,1.028,0.849,42.9,IEEE-30,SCN_AD_0007,voltage_collapse,106,high,T07,True,True,3,3.67,True,0.0,0.0,0.327,0.505,0.854,True,90.8,False,none,0.81,physics-constrained synthetic generation,2024-01-01
AD_0008,anomaly_detection,train,reasoning,medium,SCADA shows flow reversal on line 15-33 from 268 MW export to 155 MW import. Diagnose this event.,Flow reversal on line 15-33 from 268 MW export to 155 MW import indicates an undetected topology change in the adjacent control area — most likely a 99 MW generation trip or line outage increasing import requirement. Actions: request topology update from the adjacent ISO; verify interconnection import limits (210 MW contractual maximum); prepare re-dispatch if import exceeds the limit.,2081.475,2064.955,16.52,0.956,1.044,0.818,29.1,IEEE-118,SCN_AD_0008,voltage_violation,70,critical,T08,True,True,3,4.33,True,0.0,0.0,0.333,0.539,0.827,True,87.7,False,none,0.78,physics-constrained synthetic generation,2024-01-01
AD_0009,anomaly_detection,train,multi_step,hard,Cascading voltage collapse is imminent on the Central interface — voltages below 0.967 pu on 6 buses. What emergency actions prevent a blackout?,"Blackout prevention on the Central interface requires immediate sequential execution: (1) shed 324 MW in load zones NW-2 and NW-3 within 60 s — highest priority as it directly reduces reactive demand; (2) insert 41 MVAR of reactive compensation within 90 s; (3) reduce power imports from the South by 93 MW within 3 min; (4) arm automatic voltage control relays on buses 87, 89, 91. Post-intervention: lowest bus voltage stabilises at 0.993 pu — above the 0.95 pu security limit. Maximum line loading returns to 0.67 pu. Report the event to the regional reliability coordinator within 10 minutes per grid code requirements.",3642.951,3624.827,18.124,0.967,1.04,0.699,34.6,IEEE-118,SCN_AD_0009,reactive_anomaly,44,high,T09,True,True,3,4.0,True,0.0,0.0,0.398,0.527,0.825,True,93.7,False,none,0.78,physics-constrained synthetic generation,2024-01-01
AD_0010,anomaly_detection,train,factual,easy,Line 22-23 current has risen to 0.76 pu of rating. Diagnose and recommend corrective action.,"Current of 0.76 pu on line 22-23 exceeds the 1.0 pu continuous limit. Most likely cause: loop flow increase following unscheduled outage of parallel line 30-17. Recommended action: reduce generation at bus 111 by 67 MW within 5 minutes. Loading returns to 0.58 pu. If unresolved within 15 minutes, initiate N-1 contingency protocol.",2586.258,2565.732,20.526,0.976,1.038,0.758,17.6,IEEE-118,SCN_AD_0010,voltage_collapse,29,high,T10,True,True,3,4.33,True,0.0,0.0,0.355,0.44,0.834,True,88.3,False,none,0.79,physics-constrained synthetic generation,2024-01-01
