doc_id,document_type,title,authors,publication_year,publisher,doi,primary_category,sub_category,keywords,abstract_snippet,page_count,language,access_type,citation_count,is_peer_reviewed,covers_physics_constraints,covers_llm_methods,covers_power_systems,covers_renewable_energy,covers_market_analysis,covers_anomaly_detection,relevance_score
KB_0001,conference_paper,Study on renewable energy topic 1: demand forecasting approaches,"Author_1A, Author_1B",2023,EPRI,10.1109/PES.2023.607680,renewable_energy,modeling,"SCADA, market clearing, large language model, demand forecasting",This paper investigates SCADA methods for renewable energy applications with emphasis on market clearing techniques...,34,English,public,156,True,False,True,False,True,False,False,0.94
KB_0002,ieee_standard,Study on energy policy topic 2: SCADA approaches,"Author_2A, Author_2B",2022,IEA,10.1109/PES.2022.476816,energy_policy,analysis,"physics-informed, LoRA fine-tuning, SCADA, demand forecasting",This paper investigates physics-informed methods for energy policy applications with emphasis on LoRA fine-tuning techniques...,19,English,open_access,193,False,True,True,False,False,False,False,0.54
KB_0003,ieee_standard,Study on power systems topic 3: large language model approaches,"Author_3A, Author_3B",2016,CIGRE,10.1109/PES.2016.207146,power_systems,optimization,"voltage stability, curtailment, large language model, multimodal learning",This paper investigates voltage stability methods for power systems applications with emphasis on curtailment techniques...,38,English,open_access,259,False,False,True,True,False,False,False,0.55
KB_0004,technical_report,Study on power systems topic 4: grid topology approaches,"Author_4A, Author_4B",2020,CIGRE,10.1109/PES.2020.760202,power_systems,modeling,"grid topology, unit commitment, physics-informed, voltage stability",This paper investigates grid topology methods for power systems applications with emphasis on unit commitment techniques...,11,English,subscription,124,False,True,False,True,False,False,False,0.96
KB_0005,grid_code,Study on grid operations topic 5: low-rank adaptation approaches,"Author_5A, Author_5B",2021,IEEE,10.1109/PES.2021.319790,grid_operations,optimization,"power flow, low-rank adaptation, multimodal learning, question answering",This paper investigates power flow methods for grid operations applications with emphasis on low-rank adaptation techniques...,15,English,public,135,False,False,False,True,False,False,False,0.97
KB_0006,regulatory_document,Study on AI ML topic 6: unit commitment approaches,"Author_6A, Author_6B",2023,IEA,10.1109/PES.2023.884221,AI_ML,optimization,"low-rank adaptation, power flow, physics-informed, unit commitment",This paper investigates low-rank adaptation methods for AI ML applications with emphasis on power flow techniques...,14,English,open_access,61,False,True,False,False,False,False,False,0.6
KB_0007,technical_report,Study on power systems topic 7: voltage stability approaches,"Author_7A, Author_7B",2021,NERC,10.1109/PES.2021.688590,power_systems,modeling,"power flow, anomaly detection, GNN, voltage stability",This paper investigates power flow methods for power systems applications with emphasis on anomaly detection techniques...,26,English,subscription,24,False,False,False,True,False,False,True,0.59
KB_0008,journal_article,Study on grid operations topic 8: voltage stability approaches,"Author_8A, Author_8B",2020,ENTSO-E,10.1109/PES.2020.627164,grid_operations,modeling,"demand forecasting, LoRA fine-tuning, voltage stability, large language model",This paper investigates demand forecasting methods for grid operations applications with emphasis on LoRA fine-tuning techniques...,42,English,subscription,236,True,False,True,True,False,False,False,0.89
KB_0009,regulatory_document,Study on power systems topic 9: question answering approaches,"Author_9A, Author_9B",2019,Elsevier,10.1109/PES.2019.720652,power_systems,review,"SCADA, physics-informed, question answering, power flow",This paper investigates SCADA methods for power systems applications with emphasis on physics-informed techniques...,18,English,open_access,38,False,True,False,True,False,False,False,0.53
KB_0010,ieee_standard,Study on market design topic 10: unit commitment approaches,"Author_10A, Author_10B",2018,IEEE,10.1109/PES.2018.263218,market_design,control,"SCADA, decision support, physics-informed, unit commitment",This paper investigates SCADA methods for market design applications with emphasis on decision support techniques...,12,English,open_access,180,False,True,False,False,False,True,False,0.72
