sample_id,category,split,question_type,difficulty,question,ground_truth_answer,p_gen_MW,p_load_MW,p_loss_MW,v_min_pu,v_max_pu,u_line_pu,renewable_penetration_pct,bus_system,scenario_id,fault_type,fault_bus,fault_severity,template_id,human_authored,expert_validated,n_expert_reviewers,expert_mean_score,physics_valid,power_balance_error_MW,power_balance_pct,bleu_score,rouge_l,bertscore,physics_compliant_prediction,numerical_accuracy_pct,hallucination_flag,hallucination_category,inter_rater_kappa,data_generation_method,creation_date
RI_0001,renewable_integration,train,factual,easy,What is the wind fleet ramp capability under current meteorological conditions?,"Wind fleet upward ramp capability is 545.8 MW per 15-minute interval based on current wind gradient measurements. Maximum observed 15-minute ramp over the past 30 days was 480.3 MW, providing 9.3% headroom. Voltage at wind-connected buses is within 0.95–1.05 pu.",5063.307,5028.11,35.197,0.96,1.005,0.632,33.3,IEEE-30,SCN_RI_0001,none,N/A,N/A,T01,True,True,3,3.67,True,0.0,0.0,0.344,0.493,0.841,True,85.7,False,none,0.8,physics-constrained synthetic generation,2024-01-01
RI_0002,renewable_integration,train,reasoning,medium,What curtailment is needed to prevent voltage violations at 20% renewable penetration?,"At 20% penetration, voltage rise at remote generation buses exceeds 1.05 pu at 4 locations. Required curtailment: 447.5 MW solar at buses 87 and 89, and 358.0 MW wind at buses 91 and 22. Post-curtailment maximum voltage is 1.037 pu. Curtailment opportunity cost at 19.6 USD/MWh is 256957 USD/hour.",3869.386,3846.308,23.078,0.971,1.037,0.698,68.5,IEEE-30,SCN_RI_0002,none,N/A,N/A,T02,True,True,3,3.67,True,0.0,0.0,0.351,0.506,0.829,True,93.4,False,none,0.78,physics-constrained synthetic generation,2024-01-01
RI_0003,renewable_integration,train,multi_step,hard,What storage capacity firms a 217 MW wind farm to within ±5% of rated output?,Firming 217 MW wind to ±5% (±11 MW) requires 78 MW / 313 MWh of battery storage based on historical variability profiles. Minimum state of charge must remain above 20% to cover worst-case 4-hour low-wind periods. Estimated capital cost is 109 million USD at current storage prices. Power balance and voltage constraints are satisfied throughout the dispatch horizon.,3010.456,2986.563,23.893,0.97,1.029,0.63,38.9,IEEE-118,SCN_RI_0003,none,N/A,N/A,T03,True,True,3,3.33,True,0.0,0.0,0.371,0.519,0.85,True,91.9,False,none,0.82,physics-constrained synthetic generation,2024-01-01
RI_0004,renewable_integration,train,factual,easy,What is the wind fleet ramp capability under current meteorological conditions?,"Wind fleet upward ramp capability is 259.1 MW per 15-minute interval based on current wind gradient measurements. Maximum observed 15-minute ramp over the past 30 days was 228.0 MW, providing 7.8% headroom. Voltage at wind-connected buses is within 0.95–1.05 pu.",4241.605,4220.502,21.103,0.992,1.033,0.589,51.7,IEEE-118,SCN_RI_0004,none,N/A,N/A,T04,True,True,3,3.67,True,0.0,0.0,0.331,0.515,0.824,True,91.3,False,none,0.83,physics-constrained synthetic generation,2024-01-01
RI_0005,renewable_integration,train,reasoning,medium,How should the operator manage a 174 MW wind ramp-down under 30% renewable penetration?,A 174 MW wind ramp-down at 30% penetration requires coordinated four-stage response: (1) fast frequency response from battery storage — 65 MW within 1 s; (2) governor droop from thermal units — 44 MW within 10 s; (3) demand response — 35 MW within 5 min; (4) CCGT start-up — 22 MW within 15 min. Frequency nadir is 59.65 Hz — above the 59.3 Hz UFLS threshold. Voltage at all buses remains within 0.95–1.05 pu.,3505.825,3491.858,13.967,0.971,1.017,0.815,41.5,IEEE-118,SCN_RI_0005,none,N/A,N/A,T05,True,True,3,3.33,True,0.0,0.0,0.413,0.458,0.855,True,91.7,False,none,0.76,physics-constrained synthetic generation,2024-01-01
RI_0006,renewable_integration,train,multi_step,hard,What storage capacity firms a 302 MW wind farm to within ±5% of rated output?,Firming 302 MW wind to ±5% (±15 MW) requires 109 MW / 435 MWh of battery storage based on historical variability profiles. Minimum state of charge must remain above 20% to cover worst-case 4-hour low-wind periods. Estimated capital cost is 152 million USD at current storage prices. Power balance and voltage constraints are satisfied throughout the dispatch horizon.,4679.104,4651.197,27.907,0.971,1.024,0.968,41.2,IEEE-30,SCN_RI_0006,none,N/A,N/A,T06,True,True,3,3.33,True,0.0,0.0,0.406,0.521,0.834,True,91.8,False,none,0.81,physics-constrained synthetic generation,2024-01-01
RI_0007,renewable_integration,train,factual,easy,What is the wind fleet ramp capability under current meteorological conditions?,"Wind fleet upward ramp capability is 406.3 MW per 15-minute interval based on current wind gradient measurements. Maximum observed 15-minute ramp over the past 30 days was 357.5 MW, providing 10.8% headroom. Voltage at wind-connected buses is within 0.95–1.05 pu.",4729.525,4710.682,18.843,0.963,1.033,0.567,77.2,IEEE-30,SCN_RI_0007,none,N/A,N/A,T07,True,True,3,3.67,True,0.0,0.0,0.371,0.436,0.841,True,86.5,False,none,0.76,physics-constrained synthetic generation,2024-01-01
RI_0008,renewable_integration,train,reasoning,medium,What curtailment is needed to prevent voltage violations at 50% renewable penetration?,"At 50% penetration, voltage rise at remote generation buses exceeds 1.05 pu at 6 locations. Required curtailment: 425.3 MW solar at buses 87 and 89, and 340.3 MW wind at buses 91 and 22. Post-curtailment maximum voltage is 1.020 pu. Curtailment opportunity cost at 31.3 USD/MWh is 401471 USD/hour.",5222.535,5181.086,41.449,0.978,1.02,0.751,73.6,IEEE-14,SCN_RI_0008,none,N/A,N/A,T08,True,True,3,4.67,True,0.0,0.0,0.337,0.464,0.852,True,92.7,False,none,0.76,physics-constrained synthetic generation,2024-01-01
RI_0009,renewable_integration,train,multi_step,hard,What storage capacity firms a 507 MW wind farm to within ±5% of rated output?,Firming 507 MW wind to ±5% (±25 MW) requires 182 MW / 730 MWh of battery storage based on historical variability profiles. Minimum state of charge must remain above 20% to cover worst-case 4-hour low-wind periods. Estimated capital cost is 255 million USD at current storage prices. Power balance and voltage constraints are satisfied throughout the dispatch horizon.,5163.357,5137.669,25.688,0.961,1.036,0.646,75.8,IEEE-118,SCN_RI_0009,none,N/A,N/A,T09,True,True,3,4.0,True,0.0,0.0,0.337,0.516,0.853,True,88.0,False,none,0.76,physics-constrained synthetic generation,2024-01-01
RI_0010,renewable_integration,train,factual,easy,What is the wind fleet ramp capability under current meteorological conditions?,"Wind fleet upward ramp capability is 323.7 MW per 15-minute interval based on current wind gradient measurements. Maximum observed 15-minute ramp over the past 30 days was 284.8 MW, providing 9.5% headroom. Voltage at wind-connected buses is within 0.95–1.05 pu.",5384.682,5357.893,26.789,0.978,1.02,0.937,60.1,IEEE-30,SCN_RI_0010,none,N/A,N/A,T10,True,True,3,4.67,True,0.0,0.0,0.322,0.43,0.832,True,87.2,False,none,0.76,physics-constrained synthetic generation,2024-01-01
