sample_id,category,split,question_type,difficulty,question,ground_truth_answer,p_gen_MW,p_load_MW,p_loss_MW,v_min_pu,v_max_pu,u_line_pu,renewable_penetration_pct,bus_system,scenario_id,fault_type,fault_bus,fault_severity,template_id,human_authored,expert_validated,n_expert_reviewers,expert_mean_score,physics_valid,power_balance_error_MW,power_balance_pct,bleu_score,rouge_l,bertscore,physics_compliant_prediction,numerical_accuracy_pct,hallucination_flag,hallucination_category,inter_rater_kappa,data_generation_method,creation_date
GO_0001,grid_operations,train,factual,easy,What is the thermal loading on the 30-17 corridor?,Line 30-17 carries 177.3 MW at 0.69 pu of its 241 MW thermal rating. N-1 security headroom is 24 MW (17.0%). Emergency rating of 281 MW is available for up to 30 minutes.,2019.225,2009.179,10.046,0.976,1.022,0.688,68.9,IEEE-30,SCN_GO_0001,none,N/A,N/A,T01,True,True,3,5.0,True,0.0,0.0,0.366,0.526,0.858,True,89.1,False,none,0.79,physics-constrained synthetic generation,2024-01-01
GO_0002,grid_operations,train,reasoning,medium,How should the operator respond to a voltage violation on bus 37 reading 0.972 pu?,Bus 37 at 0.972 pu violates the 0.95 pu lower limit. Corrective actions in priority order: (1) increase reactive output of generator at bus 94 by 77 MVAR; (2) switch in standby capacitor bank at bus 37 (50 MVAR); (3) reduce real power transfer on line 89-92 by 119 MW. Voltage recovers to 0.996 pu within 3 minutes.,2820.976,2798.587,22.389,0.972,1.035,0.746,35.1,IEEE-118,SCN_GO_0002,none,N/A,N/A,T02,True,True,3,4.0,True,0.0,0.0,0.381,0.506,0.838,True,87.7,False,none,0.74,physics-constrained synthetic generation,2024-01-01
GO_0003,grid_operations,train,multi_step,hard,What switching sequence safely isolates the faulted section on line 22-23?,Safe isolation of faulted line 22-23: (1) open circuit breaker CB-94A; (2) open CB-107B; (3) verify de-energisation via absence-of-voltage check; (4) apply ground switches GS-94 and GS-107; (5) issue clearance permit to maintenance crew. Post-switching: adjacent line 10-11 carries 0.61 pu — within the continuous thermal limit. Bus 94 voltage after isolation is 0.985 pu.,2568.165,2555.388,12.777,0.985,1.019,0.609,32.7,IEEE-118,SCN_GO_0003,none,N/A,N/A,T03,True,True,3,3.67,True,0.0,0.0,0.351,0.514,0.826,True,92.8,False,none,0.8,physics-constrained synthetic generation,2024-01-01
GO_0004,grid_operations,train,factual,easy,What is the thermal loading on the 38-65 corridor?,Line 38-65 carries 587.4 MW at 0.72 pu of its 651 MW thermal rating. N-1 security headroom is 65 MW (8.0%). Emergency rating of 760 MW is available for up to 30 minutes.,5629.264,5601.258,28.006,0.97,1.023,0.723,67.3,IEEE-118,SCN_GO_0004,none,N/A,N/A,T04,True,True,3,4.33,True,0.0,0.0,0.377,0.458,0.837,True,93.5,False,none,0.77,physics-constrained synthetic generation,2024-01-01
GO_0005,grid_operations,train,reasoning,medium,What corrective re-dispatch restores security when line 15-33 is at 0.70 pu of emergency rating?,Line 15-33 at 0.70 pu exceeds the 1.0 pu continuous limit. Re-dispatch: reduce generation at bus 84 by 116 MW and increase generation at bus 39 by 116 MW. Loading returns to 0.49 pu within 3 minutes. Post re-dispatch voltage at bus 31 is 1.013 pu.,2196.781,2185.852,10.929,0.966,1.027,0.696,31.1,IEEE-118,SCN_GO_0005,none,N/A,N/A,T05,True,True,3,3.0,True,0.0,0.0,0.357,0.482,0.821,True,87.5,False,none,0.81,physics-constrained synthetic generation,2024-01-01
GO_0006,grid_operations,train,multi_step,hard,What power flow solution confirms N-1 security for loss of the generator at bus 106?,"N-1 analysis for loss of the bus 106 generator (279 MW): remaining units pick up load via governor response within 30 seconds. Largest voltage deviation is 0.035 pu at bus 114 — within the emergency limit. Maximum post-contingency line loading is 0.68 pu on line 64-65, requiring 154 MW re-dispatch within 15 minutes.",3506.43,3488.985,17.445,0.958,1.039,0.679,60.8,IEEE-118,SCN_GO_0006,none,N/A,N/A,T06,True,True,3,4.0,True,0.0,0.0,0.322,0.491,0.838,True,90.9,False,none,0.77,physics-constrained synthetic generation,2024-01-01
GO_0007,grid_operations,train,factual,easy,What is the current voltage on bus 91 of the IEEE-118 network?,Bus 91 voltage is 0.972 pu — within the 0.95–1.05 pu security band. Reactive support from the adjacent shunt capacitor is 39.8 MVAR. No voltage violations are present across all 12 monitored buses.,2510.056,2490.135,19.921,0.972,1.015,0.809,48.7,IEEE-118,SCN_GO_0007,none,N/A,N/A,T07,True,True,3,3.0,True,0.0,0.0,0.347,0.437,0.856,True,87.1,False,none,0.8,physics-constrained synthetic generation,2024-01-01
GO_0008,grid_operations,train,reasoning,medium,What corrective re-dispatch restores security when line 64-65 is at 0.72 pu of emergency rating?,Line 64-65 at 0.72 pu exceeds the 1.0 pu continuous limit. Re-dispatch: reduce generation at bus 89 by 102 MW and increase generation at bus 3 by 102 MW. Loading returns to 0.53 pu within 3 minutes. Post re-dispatch voltage at bus 12 is 1.004 pu.,3097.1,3078.628,18.472,0.957,1.045,0.725,31.2,IEEE-118,SCN_GO_0008,none,N/A,N/A,T08,True,True,3,4.33,True,0.0,0.0,0.33,0.539,0.844,True,89.5,False,none,0.77,physics-constrained synthetic generation,2024-01-01
GO_0009,grid_operations,train,multi_step,hard,What power flow solution confirms N-1 security for loss of the generator at bus 23?,"N-1 analysis for loss of the bus 23 generator (436 MW): remaining units pick up load via governor response within 30 seconds. Largest voltage deviation is 0.032 pu at bus 80 — within the emergency limit. Maximum post-contingency line loading is 0.82 pu on line 89-92, requiring 102 MW re-dispatch within 15 minutes.",4053.798,4021.625,32.173,0.978,1.033,0.821,47.3,IEEE-118,SCN_GO_0009,none,N/A,N/A,T09,True,True,3,3.67,True,0.0,0.0,0.376,0.5,0.849,True,88.8,False,none,0.74,physics-constrained synthetic generation,2024-01-01
GO_0010,grid_operations,train,factual,easy,What is the thermal loading on the 30-17 corridor?,Line 30-17 carries 451.2 MW at 0.73 pu of its 611 MW thermal rating. N-1 security headroom is 61 MW (11.8%). Emergency rating of 712 MW is available for up to 30 minutes.,5253.439,5227.302,26.137,0.969,1.026,0.729,41.9,IEEE-118,SCN_GO_0010,none,N/A,N/A,T10,True,True,3,4.33,True,0.0,0.0,0.396,0.494,0.833,True,86.6,False,none,0.81,physics-constrained synthetic generation,2024-01-01
