sample_id,category,split,question_type,difficulty,question,ground_truth_answer,p_gen_MW,p_load_MW,p_loss_MW,v_min_pu,v_max_pu,u_line_pu,renewable_penetration_pct,bus_system,scenario_id,fault_type,fault_bus,fault_severity,template_id,human_authored,expert_validated,n_expert_reviewers,expert_mean_score,physics_valid,power_balance_error_MW,power_balance_pct,bleu_score,rouge_l,bertscore,physics_compliant_prediction,numerical_accuracy_pct,hallucination_flag,hallucination_category,inter_rater_kappa,data_generation_method,creation_date
SO_0001,supply_optimization,train,factual,easy,What is the minimum-cost dispatch for 4444 MW system load at current fuel prices?,"Minimum-cost dispatch for 4444.3 MW allocates 1811.9 MW to renewables at near-zero marginal cost, 1589.7 MW to combined-cycle gas at 69.4 USD/MWh, and 912.5 MW to coal baseload at 53.5 USD/MWh. System marginal price is 72.1 USD/MWh. Transmission losses are 35.6 MW. Power balance is within tolerance.",4479.894,4444.339,35.555,1.0,1.037,0.911,42.0,IEEE-118,SCN_SO_0001,none,N/A,N/A,T01,True,True,3,3.67,True,0.0,0.0,0.333,0.501,0.825,True,88.3,False,none,0.81,physics-constrained synthetic generation,2024-01-01
SO_0002,supply_optimization,train,reasoning,medium,How should generation re-dispatch respond to a 209 MW unit trip on bus 54?,"Loss of 209.1 MW on bus 54 requires sequential activation: automatic generation control provides 94 MW within 2 minutes, fast-start gas peakers provide 73 MW within 7 minutes, and demand response provides 42 MW within 10 minutes. Frequency nadir is limited to 59.66 Hz — above the 59.3 Hz UFLS threshold. System balance is restored within 12 minutes.",2331.678,2322.388,9.29,0.98,1.05,0.776,56.0,IEEE-118,SCN_SO_0002,none,N/A,N/A,T02,True,True,3,3.33,True,0.0,0.0,0.355,0.46,0.85,True,86.1,False,none,0.79,physics-constrained synthetic generation,2024-01-01
SO_0003,supply_optimization,train,multi_step,hard,"Given a carbon price of 40 USD/tonne, what is the optimal unit commitment for 3778 MW morning peak?","At 40 USD/tonne CO2, coal generation becomes uneconomic above 920 MW. Optimal commitment: 2 CCGT units at 588 MW each, one hydro unit at 349 MW, and all available renewables at 2347.9 MW. Total cost is 249916 USD/hour — a 5.9% saving over the coal-inclusive baseline. Power balance is satisfied within 2% and no voltage or thermal violations are present.",3808.373,3778.148,30.225,0.974,1.02,0.654,63.8,IEEE-118,SCN_SO_0003,none,N/A,N/A,T03,True,True,3,4.0,True,0.0,0.0,0.387,0.421,0.822,True,91.4,False,none,0.79,physics-constrained synthetic generation,2024-01-01
SO_0004,supply_optimization,train,factual,easy,What is the current spinning reserve margin on the Southwest system?,Spinning reserve on Southwest is 453.2 MW representing 17.2% of system load — above the 14.6% N-1 requirement. Fast-response battery storage contributes 68.0 MW of synthetic reserve with a 1-second activation time. Reserve adequacy is confirmed for all 186 contingency cases.,2646.911,2633.742,13.169,0.959,1.039,0.711,54.6,IEEE-118,SCN_SO_0004,none,N/A,N/A,T04,True,True,3,5.0,True,0.0,0.0,0.392,0.494,0.85,True,90.3,False,none,0.79,physics-constrained synthetic generation,2024-01-01
SO_0005,supply_optimization,train,reasoning,medium,What reserve margin is required to maintain N-1 security at 50% renewable penetration?,"At 50% renewable penetration the minimum spinning reserve is 589.4 MW (15.5% of load) to satisfy N-1 security. System inertia at this penetration level is 6.3 GW-s, down from 7.9 GW-s at zero-renewable dispatch. Grid-forming inverters provide 670.2 MW of synthetic inertia response.",3804.029,3785.103,18.926,0.959,1.031,0.708,34.1,IEEE-118,SCN_SO_0005,none,N/A,N/A,T05,True,True,3,4.0,True,0.0,0.0,0.401,0.442,0.849,True,90.8,False,none,0.8,physics-constrained synthetic generation,2024-01-01
SO_0006,supply_optimization,train,multi_step,hard,"Given a carbon price of 40 USD/tonne, what is the optimal unit commitment for 1997 MW morning peak?","At 40 USD/tonne CO2, coal generation becomes uneconomic above 512 MW. Optimal commitment: 2 CCGT units at 1142 MW each, one hydro unit at 191 MW, and all available renewables at 450.4 MW. Total cost is 112749 USD/hour — a 7.3% saving over the coal-inclusive baseline. Power balance is satisfied within 2% and no voltage or thermal violations are present.",2004.984,1996.996,7.988,0.964,1.031,0.894,22.0,IEEE-118,SCN_SO_0006,none,N/A,N/A,T06,True,True,3,3.67,True,0.0,0.0,0.369,0.54,0.848,True,90.7,False,none,0.83,physics-constrained synthetic generation,2024-01-01
SO_0007,supply_optimization,train,factual,easy,What is the current spinning reserve margin on the Northwest system?,Spinning reserve on Northwest is 619.0 MW representing 16.6% of system load — above the 14.1% N-1 requirement. Fast-response battery storage contributes 92.8 MW of synthetic reserve with a 1-second activation time. Reserve adequacy is confirmed for all 186 contingency cases.,3807.254,3792.086,15.168,0.991,1.026,0.729,37.1,IEEE-118,SCN_SO_0007,none,N/A,N/A,T07,True,True,3,3.67,True,0.0,0.0,0.338,0.534,0.825,True,90.3,False,none,0.78,physics-constrained synthetic generation,2024-01-01
SO_0008,supply_optimization,train,reasoning,medium,How should generation re-dispatch respond to a 419 MW unit trip on bus 53?,"Loss of 418.9 MW on bus 53 requires sequential activation: automatic generation control provides 189 MW within 2 minutes, fast-start gas peakers provide 147 MW within 7 minutes, and demand response provides 84 MW within 10 minutes. Frequency nadir is limited to 59.41 Hz — above the 59.3 Hz UFLS threshold. System balance is restored within 12 minutes.",3632.189,3617.718,14.471,0.993,1.038,0.706,27.6,IEEE-118,SCN_SO_0008,none,N/A,N/A,T08,True,True,3,4.33,True,0.0,0.0,0.406,0.433,0.834,True,88.7,False,none,0.8,physics-constrained synthetic generation,2024-01-01
SO_0009,supply_optimization,train,multi_step,hard,"Given a carbon price of 45 USD/tonne, what is the optimal unit commitment for 2340 MW morning peak?","At 45 USD/tonne CO2, coal generation becomes uneconomic above 575 MW. Optimal commitment: 2 CCGT units at 635 MW each, one hydro unit at 229 MW, and all available renewables at 1216.3 MW. Total cost is 126778 USD/hour — a 5.1% saving over the coal-inclusive baseline. Power balance is satisfied within 2% and no voltage or thermal violations are present.",2351.593,2339.894,11.699,0.982,1.017,0.834,52.9,IEEE-118,SCN_SO_0009,none,N/A,N/A,T09,True,True,3,3.67,True,0.0,0.0,0.326,0.424,0.835,True,88.3,False,none,0.84,physics-constrained synthetic generation,2024-01-01
SO_0010,supply_optimization,train,factual,easy,What is the current spinning reserve margin on the Southwest system?,Spinning reserve on Southwest is 730.7 MW representing 12.7% of system load — above the 10.8% N-1 requirement. Fast-response battery storage contributes 109.6 MW of synthetic reserve with a 1-second activation time. Reserve adequacy is confirmed for all 186 contingency cases.,5466.948,5423.56,43.388,0.979,1.012,0.806,17.4,IEEE-118,SCN_SO_0010,none,N/A,N/A,T10,True,True,3,4.33,True,0.0,0.0,0.348,0.448,0.842,True,86.3,False,none,0.75,physics-constrained synthetic generation,2024-01-01
