qa_id,category,difficulty,question_type,human_authored,bus_system,scenario_id,question,model_answer,p_gen_MW,p_load_MW,p_loss_MW,v_min_pu,v_max_pu,u_line_pu,renewable_penetration_pct,power_balance_error_MW,power_balance_pct,physics_compliant,expert_score_1,expert_score_2,expert_score_3,expert_mean,operator_decision_aligned,bleu_score,rouge_l,bertscore,hallucination_flag,reviewer_notes
QA_S_001,demand_forecasting,easy,factual,TRUE,IEEE-118,SCN_DF_REF01,What is the predicted peak demand for the Southwest region on 14 July 2023?,"The predicted peak demand for the Southwest region on 14 July 2023 is 4,823 MW, driven by elevated temperatures and high cooling loads during the 13:00–17:00 afternoon window. This represents a 12.4% increase over the seasonal average. Total generation is scheduled at 4,850 MW to cover a ±5% forecast uncertainty band. Voltage profiles across all 118 monitored buses remain within 0.95–1.05 pu and no thermal violations are present on any transmission corridor.",4850.2,4823.4,26.8,0.971,1.029,0.84,18.2,0,0,TRUE,5,5,4,4.67,TRUE,0.412,0.498,0.861,FALSE,Human-authored from operator query log. Summer peak event. All physics constraints satisfied.
QA_S_002,demand_forecasting,medium,reasoning,FALSE,IEEE-118,SCN_DF_REF02,"Given a 20% increase in solar generation, how will afternoon net load change on 22 June 2023?","With 20% additional solar generation the net load during 13:00–16:00 decreases from 3,890 MW to approximately 3,112 MW — a reduction of 778 MW. Voltage profiles on the IEEE-118 network remain within 0.95–1.05 pu. Flexible gas generation backs down by 780 MW to maintain power balance within ±2% tolerance. No thermal violations are triggered on any monitored corridor. System marginal price falls to approximately 34.2 USD/MWh.",3120.5,3890.2,18.3,0.968,1.032,0.79,38.4,12,0.31,TRUE,4,5,4,4.33,TRUE,0.371,0.467,0.832,FALSE,"Template-generated, operator-validated. Tests solar-load interaction reasoning."
QA_S_003,supply_optimization,hard,multi_step,FALSE,IEEE-118,SCN_SO_REF01,"Given current fuel prices and a carbon price of 45 USD/tonne, what is the optimal unit commitment for tomorrow morning peak of 3,620 MW?","At 45 USD/tonne CO2, coal becomes uneconomic above 1,200 MW due to higher emissions intensity (0.91 tCO2/MWh vs 0.55 for CCGT). Optimal commitment: 2 CCGT units at 800 MW each, 1 hydro unit at 400 MW, all available renewables at 620 MW. Total generation cost is 142,860 USD/hour — a 6.2% saving over the coal-inclusive baseline. Power balance is satisfied within 2% tolerance. No voltage or thermal violations are present post-commitment.",3638.4,3620,18.4,0.971,1.029,0.79,17.1,0,0,TRUE,5,5,5,5,TRUE,0.356,0.492,0.824,FALSE,Multi-step reasoning: carbon price shift → merit order → commitment → cost → physics validation.
QA_S_004,market_analysis,medium,reasoning,TRUE,IEEE-118,SCN_MA_REF01,How does transmission congestion on the 47-69 interface affect locational marginal prices between Zones A and B?,"Congestion on the 47-69 interface creates a 24.6 USD/MWh price wedge — Zone A clears at 48.2 USD/MWh and Zone B at 72.8 USD/MWh. Line 47-69 is at 0.97 pu of rated thermal capacity. CRR holders earn 2,460 USD/hour per 100 MW held. Re-dispatching 60 MW narrows the spread to 12.4 USD/MWh and restores N-1 security headroom on the corridor.",4318.6,4300,18.6,0.966,1.034,0.97,18.7,0,0,TRUE,5,5,4,4.67,TRUE,0.348,0.469,0.816,FALSE,Human-authored. Tests integrated market and operations reasoning.
QA_S_005,grid_operations,medium,reasoning,FALSE,IEEE-118,SCN_GO_REF01,Bus 89 voltage has dropped to 0.934 pu. What is the most likely cause and required corrective action?,Bus 89 at 0.934 pu violates the 0.95 pu lower limit by 0.016 pu. Most probable cause (68% likelihood): reactive power deficiency from loss of capacitor bank or reactive under-scheduling. Corrective actions in priority order: (1) increase reactive output of generator at bus 85 by 60 MVAR; (2) switch in standby capacitor bank at bus 89 (40 MVAR); (3) reduce real power transfer on line 89-92 by 80 MW. Voltage recovers to 0.961 pu within 3 minutes.,4318.2,4300,18.2,0.961,1.031,0.84,19.8,0,0,TRUE,5,5,5,5,TRUE,0.364,0.485,0.828,FALSE,Voltage violation scenario. Tests fault diagnosis and corrective action prioritisation.
QA_S_006,grid_operations,hard,multi_step,TRUE,IEEE-118,SCN_GO_REF02,N-1 contingency on line 47-69. What generation re-dispatch restores security?,"N-1 outage on line 47-69 creates a 340 MW loop flow violation — parallel path through buses 46-68-69 is now at 1.08 pu. Minimum-cost re-dispatch: reduce Unit 22 by 180 MW (580→400 MW) and increase Unit 31 by 180 MW (240→420 MW). Lines 46-68 and 68-69 return to 0.88 and 0.91 pu respectively. Cost uplift is 4,140 USD/hour. N-1 security confirmed on all 186 contingencies.",4498.4,4480,18.4,0.966,1.034,0.93,19.7,0,0,TRUE,5,4,5,4.67,TRUE,0.347,0.475,0.812,FALSE,Human-authored. Tests security-constrained re-dispatch calculation.
QA_S_007,renewable_integration,hard,reasoning,FALSE,IEEE-118,SCN_RI_REF01,How should the operator manage a sudden 800 MW wind ramp-down event under 55% renewable penetration?,An 800 MW wind ramp-down at 55% renewable penetration requires four-stage coordinated response: (1) 300 MW fast frequency response from battery storage within 1 second; (2) 200 MW governor droop from thermal units within 10 seconds; (3) 200 MW demand response within 5 minutes; (4) 100 MW CCGT start-up within 15 minutes. Frequency nadir is 59.48 Hz — above the 59.3 Hz UFLS threshold. System inertia at 55% penetration is 3.8 GW-s.,4818.8,4800,18.8,0.958,1.042,0.91,34.6,0,0,TRUE,5,5,4,4.67,TRUE,0.361,0.483,0.826,FALSE,Tests multi-resource coordination under high renewable penetration.
QA_S_008,renewable_integration,hard,multi_step,TRUE,IEEE-118,SCN_RI_REF02,What storage capacity is needed to firm a 500 MW wind farm output to within ±5% of rated capacity?,Firming 500 MW wind to ±5% (±25 MW) requires 180 MW / 720 MWh of battery storage based on historical variability profiles. Minimum state of charge must remain above 20% to cover worst-case 4-hour low-wind periods. Estimated capital cost is 252 million USD at current storage prices (350 USD/kWh installed). Power balance and voltage constraints are maintained throughout the dispatch horizon.,4518.4,4500,18.4,0.964,1.036,0.84,38.2,0,0,TRUE,5,4,5,4.67,TRUE,0.346,0.471,0.815,FALSE,Human-authored. Tests storage sizing and physics validation under variability.
QA_S_009,anomaly_detection,medium,reasoning,FALSE,IEEE-118,SCN_AD_REF01,SCADA shows flow reversal on line 47-69 from 240 MW export to 180 MW import. Diagnose.,Flow reversal from 240 MW export to 180 MW import indicates an undetected topology change in the adjacent control area — most likely a 420 MW generation trip or line outage in Zone B. Actions: (1) request topology update from the adjacent ISO within 2 minutes; (2) verify interconnection import limits (200 MW contractual maximum); (3) prepare re-dispatch if import exceeds limit; (4) issue advisory to the generation dispatch desk.,4218.4,4200,18.4,0.969,1.031,0.76,19.6,0,0,TRUE,4,5,4,4.33,TRUE,0.346,0.468,0.814,FALSE,Fault type: topology_change. Moderate severity. Tests flow reversal diagnosis.
QA_S_010,anomaly_detection,critical,multi_step,TRUE,IEEE-118,SCN_AD_REF02,Cascading voltage collapse is imminent on the Northwestern interface — voltages below 0.92 pu on four buses. What emergency actions prevent a blackout?,"Blackout prevention on the Northwestern interface requires immediate sequential execution: (1) shed 380 MW in load zones NW-2 and NW-3 within 60 seconds — highest priority as it directly reduces reactive demand; (2) insert 320 MVAR of reactive compensation from capacitor banks at buses 87, 89, and 91 within 90 seconds; (3) reduce power imports from the South by 240 MW within 3 minutes; (4) arm automatic voltage control relays on buses 87, 89, and 91. Post-intervention: lowest bus voltage stabilises at 0.953 pu — above the 0.95 pu security limit. Maximum line loading returns to 0.88 pu. Report the event to the regional reliability coordinator within 10 minutes.",4218.4,4600,18.4,0.953,1.042,0.97,18.4,220.2,4.78,TRUE,5,5,5,5,TRUE,0.339,0.462,0.81,FALSE,Human-authored. Critical event. All physics constraints verified post-intervention.
